"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.71029121478258e-50,1.45433999720674,0.362,0.048,2.40962929250718e-46,"5","TOPBP1"
1.93064940244251e-50,1.72851947100725,0.477,0.081,2.72009194310125e-46,"5","DCTPP1"
2.60085798986875e-50,1.68060725833352,0.569,0.111,3.66434882192609e-46,"5","NME1"
2.67339526080492e-50,3.51332638396572,0.108,0.004,3.76654658294805e-46,"5","DERL3"
3.24512640587851e-50,1.73041289348672,0.254,0.025,4.57205859324223e-46,"5","CENPJ"
4.88619116958126e-50,2.77447928836082,0.177,0.012,6.88415473882304e-46,"5","POLE"
6.30064818158954e-50,1.78907769185839,0.485,0.084,8.8769832230415e-46,"5","TFDP1"
6.32335770256083e-50,1.62394672824451,0.862,0.251,8.90897866713795e-46,"5","SIVA1"
6.64327394146595e-50,1.65622777381402,0.938,0.34,9.35970865613138e-46,"5","DEK"
7.91954194416793e-50,1.19060456144655,0.377,0.052,1.11578426451382e-45,"5","RAD51C"
1.0963663663422e-49,1.4337710189815,0.354,0.047,1.54467057353953e-45,"5","DENND6B"
1.43608662857443e-49,1.43113469719788,0.492,0.085,2.02330245099851e-45,"5","TIMM10"
2.61218520361115e-49,2.19184513922309,0.262,0.027,3.68030773336775e-45,"5","PIF1"
3.121299047489e-49,1.33488155324891,0.8,0.2,4.39759822800725e-45,"5","LSM5"
3.6592538291316e-49,1.68961578047021,0.446,0.074,5.15552271986351e-45,"5","CDKN2C"
4.07559754927847e-49,1.90576123596313,0.269,0.029,5.74210938717843e-45,"5","FANCL"
4.63840721267081e-49,1.68341668571516,0.592,0.121,6.5350519219319e-45,"5","HMGA1"
5.35126843975386e-49,1.53033801547683,0.354,0.047,7.53940210476921e-45,"5","PMM1"
5.68645392825934e-49,1.34466717772055,0.877,0.243,8.01164493952459e-45,"5","SNRPD1"
8.38317226079938e-49,1.45208913362308,0.592,0.12,1.18110513982402e-44,"5","SMC1A"
1.2145577713724e-48,1.53029936416068,0.846,0.245,1.71119044408658e-44,"5","IDH2"
1.48571649609601e-48,2.26815604204885,0.208,0.017,2.09322597134966e-44,"5","FIGNL1"
1.75432921917212e-48,1.37662398255086,0.446,0.072,2.47167443689159e-44,"5","SCCPDH"
1.90742970037259e-48,3.18311156122722,0.115,0.005,2.68737770485495e-44,"5","ASRGL1"
2.21294188920263e-48,1.48509221777242,0.708,0.167,3.11781382769758e-44,"5","CD38"
3.66818820142499e-48,1.46421298285987,0.431,0.068,5.16811035698767e-44,"5","ADSL"
3.99194895184021e-48,1.98903132943843,0.208,0.018,5.62425687824767e-44,"5","PIDD1"
4.35375711951096e-48,1.09643241573591,0.569,0.108,6.13400840567899e-44,"5","EXOSC8"
2.10247198077441e-47,2.42452877494156,0.154,0.01,2.96217277371307e-43,"5","PRELID2"
2.30592924083781e-47,2.03508806988162,0.2,0.017,3.24882370741639e-43,"5","CEP57L1"
2.3213566504303e-47,1.49634993154824,0.392,0.059,3.27055938479125e-43,"5","CCDC28B"
2.88538693817363e-47,1.24104519052931,0.5,0.089,4.06522165719283e-43,"5","BOLA3"
2.94754235797545e-47,2.13943816110471,0.231,0.022,4.15279242815161e-43,"5","LRRC45"
6.49080963301607e-47,1.64972753518121,0.315,0.04,9.14490169195634e-43,"5","SEPHS1"
1.35123298664478e-46,2.85005512306744,0.138,0.008,1.90375215488382e-42,"5","CNTLN"
2.05625064844437e-46,1.46071628581029,0.338,0.046,2.89705153859328e-42,"5","THOC3"
2.36200074516497e-46,1.11790902307455,0.554,0.107,3.32782284986292e-42,"5","UQCC2"
3.12784251237654e-46,1.70180170812786,0.308,0.039,4.4068173156873e-42,"5","EMC9"
9.73161629322238e-46,1.07661973516313,0.469,0.081,1.3710874195521e-41,"5","VPS25"
1.80452518013774e-45,1.83212086703188,0.223,0.021,2.54239552629606e-41,"5","LMNB2"
4.27867922932199e-45,2.36934794056799,0.146,0.009,6.02823116619176e-41,"5","CHEK2"
5.55423113877161e-45,2.72972987066591,0.138,0.008,7.82535625141532e-41,"5","NET1"
6.41572965537332e-45,1.24500641681827,0.754,0.189,9.03912151145547e-41,"5","ETFB"
9.3459393442407e-45,1.52765677839536,0.231,0.023,1.31674939421007e-40,"5","SMCO4"
1.36234764722389e-44,1.55716791587574,0.908,0.324,1.91941160017374e-40,"5","NUCKS1"
1.40356314736534e-44,1.35084060779996,0.285,0.034,1.97748011832303e-40,"5","COPRS"
2.48074049099241e-44,1.20046673198992,0.492,0.092,3.4951152777592e-40,"5","POLR3K"
