"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.5608251322161e-08,-0.292322075113633,0.131,0.034,0.000219904652877927,"5","AARSD1"
1.57848074676881e-08,0.0733322383157243,0.231,0.079,0.000222392152412257,"5","GCLM"
1.59280709525791e-08,-0.210945149185584,0.262,0.093,0.000224410591650886,"5","USO1"
1.59817991466513e-08,0.867249569365557,0.115,0.028,0.00022516756817717,"5","MYO7A"
1.59897101684998e-08,-0.100355523608723,0.262,0.093,0.000225279026563994,"5","LENG1"
1.60333052727826e-08,0.282434264174046,0.146,0.04,0.000225893237988234,"5","PAPSS1"
1.60628996684808e-08,-0.0867868175193406,0.438,0.182,0.000226310193429226,"5","NEMF"
1.61502506686178e-08,-0.316088883235066,0.308,0.115,0.000227540881670156,"5","LINC00996"
1.61533409262398e-08,0.16924981955093,0.2,0.064,0.000227584420309793,"5","CCDC137"
1.6181494830328e-08,0.0782334143200893,0.569,0.253,0.000227981080664491,"5","RAB7A"
1.62613986853262e-08,-0.22440428926223,0.2,0.064,0.000229106846077561,"5","GINM1"
1.62807916212056e-08,0.0965322525855687,0.146,0.04,0.000229380073151166,"5","ACAD8"
1.63965981069386e-08,0.0484185294962856,0.177,0.054,0.000231011670728658,"5","ECSIT"
1.67430366982488e-08,0.0210730223976798,0.431,0.18,0.000235892644041627,"5","WNK1"
1.68435831806585e-08,0.213802812022616,0.154,0.044,0.000237309243432298,"5","CYSLTR1"
1.69280427225185e-08,-0.214054550326449,0.2,0.064,0.000238499193917563,"5","SEC23B"
1.69501695704381e-08,-0.0311458144167041,0.223,0.075,0.000238810939077902,"5","EMC2"
1.71561899195694e-08,0.00943086480823252,0.323,0.125,0.000241713559776814,"5","PQBP1"
1.7160191197935e-08,0.0883634673696785,0.131,0.034,0.000241769933787706,"5","HACD2"
1.73193903575076e-08,0.0976015599947284,0.192,0.061,0.000244012890746924,"5","REV1"
1.73413903261908e-08,0.925567303059607,0.1,0.022,0.000244322848305703,"5","OGFOD2"
1.73875338336567e-08,0.273690961351247,0.123,0.031,0.000244972964182389,"5","RRP9"
1.76118652453873e-08,-0.408034469177224,0.177,0.053,0.000248133569442262,"5","OSM"
1.80663248148323e-08,0.144307080204084,0.623,0.29,0.000254536450316173,"5","NSA2"
1.80726277671511e-08,0.118856187248078,0.162,0.047,0.000254625252611392,"5","HPS4"
1.85457735263752e-08,-0.0830641801031868,0.231,0.079,0.000261291403213101,"5","GFER"
1.85977189237058e-08,-0.0566563961941391,0.138,0.037,0.000262023261916091,"5","TFCP2"
1.87995461194427e-08,0.201202589964853,0.169,0.051,0.000264866805276828,"5","ZC3H14"
1.88171293118946e-08,-0.0222513586201525,0.146,0.04,0.000265114534875282,"5","MAPK6"
1.88601194549975e-08,-0.303181321191638,0.315,0.12,0.00026572022300146,"5","OARD1"
1.89904555372987e-08,-0.027904944646381,0.362,0.144,0.000267556528065001,"5","UBE2K"
1.90321353484603e-08,-0.028472050070192,0.185,0.057,0.000268143754924456,"5","DESI1"
1.93563219003136e-08,-0.0576614084390841,0.685,0.308,0.000272711219253519,"5","ARHGAP9"
1.941593580859e-08,-0.00530813169641009,0.162,0.047,0.000273551119607225,"5","COPG1"
1.95721504348048e-08,-0.177036314211134,0.323,0.124,0.000275752027475965,"5","VTI1B"
1.96446785562538e-08,0.398916259754976,0.115,0.028,0.00027677387617906,"5","CHUK"
1.97538245749271e-08,1.14041255383028,0.115,0.028,0.000278311634436148,"5","ATG7"
1.97563046979742e-08,-0.0138275573328306,0.262,0.094,0.000278346576889759,"5","NAALADL1"
1.98781587595313e-08,-0.115057670310442,0.215,0.071,0.000280063378763037,"5","DHX38"
1.99397363410188e-08,-0.30454930122207,0.323,0.123,0.000280930945308613,"5","PUM1"
1.99529907395511e-08,0.3572870965176,0.131,0.034,0.000281117686529535,"5","PTRH2"
2.02076906772588e-08,0.179272822637479,0.154,0.044,0.0002847061539519,"5","ZNF567"
2.0279413766133e-08,-0.102811324153149,0.192,0.061,0.000285716660551048,"5","PMPCA"
2.03007738094573e-08,-0.243240542656372,0.277,0.101,0.000286017602201444,"5","COMMD5"
2.03516794668234e-08,-0.249681273872119,0.423,0.173,0.000286734812008075,"5","PPCS"
